,이동 멍석 갈비,Idong meongseok galbi,イドンモンソクカルビ,二东超大排骨
,이북식 보쌈김치,Ibuksik bossam kimchi,イブクシク・ポサムギムチ,北韩式包卷泡菜
,임연수구이,imyeonsu gui ,イミョンスグイ,烤远东多线鱼
,임연수튀김,imyeonsu twigim,イミョンスティギム,炸远东多线鱼
,일식돈가스,Ilsik dongaseu,イルシクトンカス,日式炸猪排
,일품해삼,ilpum haesam,イルプム・ヘサム,一品海参
,일본오뎅도시락,Ilbon oden dosirak,イルボン・オデン・ドシラク,日本鱼糕盒饭
,일본식닭다리야채구이,Ilbonsik dakdari yachae gui,イルボンシク・タクタリ・ヤチェグイ,日式烤鸡腿蔬菜
,잉어회,ingeo hoe,インオフェ,鲤鱼生鱼片
,인삼칼국수,insam kalguksu,インサム・カルグクス,人参刀切面
,인삼갈비탕,insam galbi tang,インサム・ガルビタン,人参排骨汤
,인삼김치전,insam kimchi jeon,インサム・ギムチジョン,人参泡菜煎饼
,인삼곰탕,insam gomtang,インサム・ゴムタン,人参精熬牛骨汤
,인삼삼계탕,insam samgyetang,インサム・サムゲタン,人参参鸡汤
,인삼순대국밥,insam sundae gukbap,インサム・スンデ・グクパプ,人参血肠汤饭
,인삼추어탕,insam chueotang,インサム・チュオタン,人参泥鳅汤
,인삼떡볶이,insam tteokbokki,インサム・トクポキ,人参辣炒年糕
,인삼떡국,insam tteokguk,インサム・トックク,人参年糕汤
,인삼비빔밥,insam bibimbap,インサム・ビビンパプ,人参拌饭
,인삼북어떡국,insam bugeo tteokguk,インサム・プゴ・トックク,人参干明太鱼年糕汤
,인삼북어누룽지탕,insam bugeo nurungji tang,インサム・ブゴ・ヌルンジタン,人参干明太鱼锅巴汤
,인삼부추전,insam buchu jeon,インサム・ブチュジョン,人参韭菜煎饼
,인삼해물파전,insam haemul pajeon,インサム・ヘムルパジョン,人参海鲜葱煎饼
,인삼복가스,insam bok gaseu,インサム・ボッカス,人参炸河豚排
,인삼오리주물럭,insam ori jumulleok,インサムオリ・ジュムルロク,人参调味烤鸭肉
,인삼갈비,insam galbi,インサムガルビ,人参排骨
,인삼주,insam ju,インサムジュ,人参酒
,인삼주스,insam juice,インサムジュス,人参汁
,인삼족발,insam jokbal,インサムジョクパル,人参猪蹄
,인삼순대+머리수육+내장,insam sundae + meori suyuk + naejang,インサムスンデ+モリスユク+ネジャン,人参血肠、白切牛头肉、内脏
,인삼생마즙,insam saengma jeup,インサムセンマジュプ,人参山药汁
,인삼탕수,insam tangsu,インサムタンス,糖醋人参
,인삼차,insam cha,インサムチャ,人参茶
,인삼튀김,insam twigim,インサムティギム,炸人参
,인삼돈가스,insam dongaseu,インサムドンカス,人参炸猪排
,인삼동동주,insam dongdongju,インサムドンドンジュ,人参冬冬酒
,인삼한우,insam Hanu,インサムハヌ,人参韩牛肉
,인삼호도과자,insam hodo gwaja,インサムホドグァジャ,人参核桃果子
,인삼홍어삼합,insam hongeo samhap,インサムホンオ・サムハプ,人参斑鳐三合(泡菜、斑鳐、五花肉)
,인삼야채오리주물럭,insam yachae ori jumulleok,インサムヤチェ・オリジュムルロク,人参蔬菜调味烤鸭肉
,인삼영양돌솥밥,insam yeongyang dolsotbap,インサムヨンヤン・ドルソッパプ,人参营养石锅饭
,인삼어죽,insam eojuk,インサモジュク,人参鱼粥
,인삼포크,insam pork,インサンポク,人参猪肉
,인삼버섯육개장,insam beoseot yukgaejang,インサンボソッ・ユッケジャン,香辣人参蘑菇牛肉汤
,인삼막창순대,insam makchang sundae,インサンマクチャン・スンデ,人参猪皱胃血肠
,인삼막걸리,insam makgeolli,インサンマッコルリ,人参马格利酒
,인스턴트,instant,インストントゥ,速溶咖啡
,임페리얼소스의홍합,imperial sauce ui honghap,インペリオルソスエ・ホンハプ,精品酱烤贻贝
,임페리얼,Imperial ,インペルリアル,Imperial(韩国威士忌酒)
,의성마늘라면,Uiseong maneul ramyeon,ウィソンマヌル・ラミョン,义城蒜蓉方便面
,의성마늘라면정식,Uiseong maneul ramyeon jeongsik,ウィソンマヌル・ラミョン・ジョンシク,义城蒜蓉方便面套餐
,의성마늘소스순살돈가스,Uiseong maneul sauce sunsal dongaseu,ウィソンマヌルソス・スンサルトンカス,义城蒜汁无骨炸猪排
,윈저,Windsor,ウィンジョ,温莎
,웰빙우리쌀뻥튀기,well-being uri ssal ppeongtwigi,ウェルビン・ウリサルポンティギ,健康韩国爆米花
,웰빙오디쥬스,well-being odi juice,ウェルビン・オディジュス,健康桑葚汁
,웰빙수제소시지,well-being suje sausage,ウェルビン・スジェソシジ,健康手工香肠
,웰빙브레드,well-being bread,ウェルビン・ブレドゥ,健康面包
,웰빙미니꽈배기,well-being mini kkwabaegi,ウェルビン・ミニクァベギ,健康小麻花
,웰빙철판볶음밥,well-being cheolpan bokkeumbap,ウェルビンチョルパン・ボクンバプ,健康铁板炒饭
,웰빙한정식,well-being Hanjeongsik,ウェルビンハンジョンシク,健康韩定食
,월도프샐러드,Waldorf salad,ウォルドプ・セルロドゥ,沃尔多夫沙拉
,월남쌈,Wollam ssam,ウォルナムサム,越南春卷
,원샷아이스크림,One Shot ice cream,ウォンシャッアイスクリム,软冰淇淋
,원샷아이스크림(딸기),One Shot ice cream (ttalgi),ウォンシャッアイスクリム（タルギ）,软冰淇淋(草莓)
,원샷아이스크림(초코),One Shot ice cream (choco),ウォンシャッアイスクリム（チョコ）,软冰淇淋(巧克力)
,원샷아이스크림(바나나),One Shot ice cream (banana),ウォンシャッアイスクリム（パナナ）,软冰淇淋(香蕉)
,원샷아이스크림(블루베리),One Shot ice cream (blueberry),ウォンシャッアイスクリム（プルルベリ）,软冰淇淋(蓝莓)
,원샷아이스크림(요거트),One Shot ice cream (yogurt),ウォンシャッアイスクリム（ヨゴトゥ）,软冰淇淋(酸奶)
,원두커피,wondu coffee,ウォンドゥコピ,现磨咖啡
,원두냉커피,wondu naeng coffee,ウォンドゥネンコピ,现磨冰咖啡
